"pod","nome","anada","bodega","tipo"
"POD016285","Clos Fourtet 19-","2019","Clos Fourtet","Tinto"
"POD_TEMP_1063","Artadi Tinto 2022","2022","Artadi","Tinto"
"POD_TEMP_1074","Comtes Georges de Vogüé Tinto 2022","2022","Comtes Georges de Vogüé","Tinto"
"POD_TEMP_1078","Roumier Bonnes Mares 19-","2019","Georges Roumier","Tinto"
"POD_TEMP_BM2_0014","[TEMP] Montée de Tonnerre 1er Cru 22-","2022","Raveneau","Blanco"
"POD_TEMP_BM2_0026","[TEMP] Montrachet (Grand Cru) 22-","2022","Vincent Girardin","Blanco"
"POD_TEMP_BM2_0054","[TEMP] Romanée-Saint-Vivant (Grand Cru) 23-","2023","Jean Grivot","Tinto"
"POD_TEMP_BM2_0055","[TEMP] Vosne-Romanée 1er Cru Les Suchots 22-","2022","Jean Grivot","Tinto"
"POD_TEMP_BM2_0058","[TEMP] Bourgogne 22-","2022","Michel Lafarge","Tinto"
"POD_TEMP_BM2_0091","[TEMP] Pinot Noir 22-","2022","Besson Frères","Tinto"
"POD_TEMP_BM2_0095","[TEMP] Chardonnay 22-","2022","Seven Springs","Blanco"
