name,ano,qty,pos,compact_loc
Andre Heucq,NV,1,CAV 2 - 10 DER,2·10·DER
Krug Rosé 28éme Edition,,1,CAV 2 - EXP IZQ,2·EXP·IZQ
Laherte Frèrers Blanc de Noirs Brut Nature,,2,CAV 2 - 3 DER,2·3·DER
Laherte Frèrers Rose de Meunier Extra Brut,,1,CAV 2 - 11 DER,2·11·DER
El Cerrico,2021,2,CAV 2 - 6 DER,2·6·DER
Kalamity,2023,2,CAV 3 - 3 DER,3·3·DER
La llorona,2024,2,CAV 4 - 3 CEN,4·3·CEN
Motor Blanco,2023,2,CAV 3 - 1 CEN,3·1·CEN
Valtuillle,2023,2,CAV 1 - 12 CEN,1·12·CEN
Vidonia,2024,2,CAV 4 - 0 IZQ,4·0·IZQ
Tramin,2024,2,CAV 2 - 7 CEN,2·7·CEN
Win 0%,,2,CAV 2 -1 IZQ,2·1·IZQ
Aciano,2021,2,CAV 4 - 9 IZQ,4·9·IZQ
Alto de la Cruz,2022,2,CAV 3 - 6 IZQ,3·6·IZQ
Anza la Canoca,2022,1,CAVA 3 - 6 CEN,3·6·CEN
Ausàs,2022,2,CAV 4 - 8 DER,4·8·DER
Bosque de Matasnos Edición Limitada,2022,2,CAV 4 - 6 IZQ,4·6·IZQ
La Muria,2023,2,CAV 1 - EXP DER,1·EXP·DER
Lindes de Remelluri Salinillas de Buradón,2021,2,CAV 3 - 9 DER,3·9·DER
Malpuesto,,2,CAV 3 - 4B DER,3·4B·DER
Paydos,2019,2,CAV 4 - 9 IZQ,4·9·IZQ
ROC,2023,2,CAV 1 - 11 DER,1·11·DER
Seoane Novelle Mencia,2022,2,CAV 1 - 11 CEN,1·11·CEN
Suañé,2019,2,CAV 3 - 10 CEN,3·10·CEN
Suelos,2021,2,CAV 3 - 8 DER,3·8·DER
V.O.,2022,2,CAV 1 - 12 IZQ,1·12·IZQ
Viariz,2023,2,CAV 1 - SUELO IZQ,1·SUELO·IZQ
Poeirinho,2022,2,CAV 1 - 8 IZQ,1·8·IZQ
Van Zellers Tawny 30 años,,1,JAMONES,JAM
Roda I 50Cl,2017,2,CAV 1 - EXP IZQ,1·EXP·IZQ
